measurement_name,measurement_id,runtime_duration_s,precache_duration_s,precache_energy_mwh,precache_network_mb,other_runtime_energy_mwh,other_runtime_network_mb,total_energy_mwh,total_network_mb
1cycle_co2aware_1of10,8abf2683-597e-4709-9c23-bb717317c733,210.259381,10.0,54.843983055555555,200.28058242797852,1054.4694894444444,92.54757118225098,1109.3134725,292.8281536102295
1cycle-co2aware-2of10,e80e74e8-7ba0-4e34-ab97-34beff689b58,210.616867,10.0,54.32914111111111,200.2889404296875,1055.7846180555555,92.5708360671997,1110.1137591666666,292.8597764968872
1cycle-co2aware-3of10,b148dbe2-f1f1-44dc-9954-3330ec4744e5,210.636635,10.0,54.40784722222222,200.2878074645996,1058.7059233333334,92.5097246170044,1113.1137705555554,292.797532081604
1cycle-co2aware-4of10,947b2a19-094f-4b0b-84f6-d3511e51ce40,210.18057,10.0,54.22604666666667,200.1442985534668,1053.7748927777777,92.5361738204956,1108.0009394444444,292.6804723739624
1cycle-co2aware-5of10,79b0756b-b28a-4576-b2b7-7aba7feb63a5,210.617603,10.0,54.75154611111111,200.28868865966797,1055.4761327777778,92.5680103302002,1110.227678888889,292.85669898986816
