measurement_name,measurement_id,runtime_duration_s,precache_duration_s,precache_energy_mwh,precache_network_mb,other_runtime_energy_mwh,other_runtime_network_mb,total_energy_mwh,total_network_mb
1cycle-co2aware-5of10,79b0756b-b28a-4576-b2b7-7aba7feb63a5,210.617603,10.0,54.75154611111111,200.28868865966797,1055.4761327777778,92.5680103302002,1110.227678888889,292.85669898986816
10cycle-co2aware,7f6ecb28-4df0-4d37-8b5e-2d3949fa2661,245.192127,10.0,54.55260944444444,200.28384590148926,1320.9722361111112,94.49422264099121,1375.5248455555557,294.77806854248047
20cycle-co2aware,1e8c6d11-29e2-4341-ae9a-2d8b5a153e4d,436.579403,10.0,54.28891361111111,200.28252029418945,2401.7051669444445,96.73483180999756,2455.9940805555557,297.017352104187
30cycle-co2aware,e95a58dd-c4f6-4920-9918-7bd0513f06de,628.269436,10.0,54.99497111111111,200.29976654052734,3494.983993611111,98.89040851593018,3549.9789647222224,299.1901750564575
